gender,text
female,PROFILE Fund accountant with nearly  years of experience in hedge fund administration which includes preparation of NAV calculations financial statements and associated reports Consistently meeting deadlines while ensuring a high quality of work standards Fast learner driven for results and analytical in problem solving WORK EXPERIENCE Citco Fund Services Singapore Pte Ltd Jan  Present Fund Accountant Calculation of estimate and final NAVs on a daily weekly and monthly basis Preparation of cash and position reconciliation reports Daily pre production tasks such as price checks interest accruals and fees booking Maintaining day to day relationships with investment managers brokers and auditors Communicating with the reconciliations team to ensure consistent and high quality standards when delivering NAV packages Undertaking fund migrations from Citco Toronto and Citco Dublin Office Familiar with various pricing valuation models e g Independent Price Verification External Valuer Investigation and resolution of breaks Training of new fund accountants in the team Assist in reviewing estimate and final NAV packs Norgas Carriers Private Limited Nov  Apr  Accountant Processing invoices from suppliers and scheduling payment remittances Assisted in collecting outstanding debts from debtors Involved in the year end closing of accounts Liaised with external auditors during interim and final audit Monthly bank reconciliation Perform intercompany journal entries and reconciliation Singapore Armed Forces Jul  July  Operation Specialist NSF Battery Sergeant Major nd Sergeant th Battalion Singapore Artillery In charge of the training management and administration matters ensuring smooth running and operation of the battalion Responsible for the welfare discipline and regimentation of  fellow NSFs Rallied with superiors to keep a lookout for troubled soldiers acted as the first level of feedback for peers EDUCATION AND QUALIFICATIONS Royal Melbourne Institute of Technology RMIT Jul  Oct  Bachelor of Business Accountancy GPA    Temasek Polytechnic Apr  Apr  Diploma in Accounting and Finance Ngee Ann Secondary School Jan  Nov  GCE O Levels Certificate SKILLS AND COMPETENCIES Trained in accounting softwares Aexeo Agresso Business World Sage AccPac and MYOB Proficient in Microsoft Excel PowerPoint and Word Competent in Financial and Economic Databases Bloomberg Thomson Reuters Languages spoken English Chinese Cantonese Languages written English Chinese
male,Fund Accoutant Sep  Present Citco Fund Services Singapore Pte Ltd Determine Net Asset Value and prepare investor P L allocations in accordance with Service Level Agreements Keep and maintain financial records including accrual reconciliations versus external sources review reconciliations from other internal departments Monitor activity in Fund covering corporate actions income and expenses fees capital transfers and performance Ensure compliance of various agreements with the clients Support the conversion of any new clients or existing migrations Prepare ad hoc reporting in line with client and internal requirements Maintain positive and professional relationships with Investment Managers clients auditors and other Citco offices Work with all team members to improve product quality efficiency and consistency Operation Analyst Jan  Aug  Citco Fund Services Singapore Pte Ltd Production of daily operational deliverables in line with client other Citco Offices service level agreements Preparing daily trades position and cash reconciliation Break resolution for all open items with the brokers or clients Verify Security Master set up to ensure proper P L capture and risk management reporting Review of Over the Counter OTC master agreements and confirmations Support the conversion of any new clients or existing migrations Work with Business Analyst on daily basis on any open issues per client Work with other Citco Offices and Operations Support to resolve any open issues Assist in verifying test results for all in house system enhancements Assist in verifying test results for all in house system enhancements Account Officer Jul  Dec  Anglo Eastern Shipmanagement Singapore Pte Ltd Provide full set of vessel accounts includes PO accruals Portage Bills Operating Expenses Reports etc related support to Finance Manager Preparing financial statements and supporting documents of the monthly expenses to the clients Comparing the variance between the budget and actual expenses in order to prepare working fund request to the clients Complete the accounts in compliance with the owners requirements within time line Respond to vessel owners queries In charged of  vessels account per month Improving strong analytical skills and creativity to derive solutions to the numerous work related issues Import Assistant Contract Aug  Oct  Sea Consortium Pte Ltd Communicate with clients on any tasks or follow up Arranging the documents of import Summit documents of import to Port Singapore Authority website for declaration Improving on my communication skills with the clients and colleagues which help me to understand how to manage relationship with clients better Education BSc Hons Accounting and Finance Sep  May  University of London Units include accounting economics financial reporting auditing financial management etc Diploma in Management Studies Apr  Jun  SIM University Units include marketing human resources information system for business business mathematics etc Unified Examination Certificate UEC Jan  Nov  Yong Peng High School Johor Malaysia Additional Information Ms Office Excel Word and PowerPoint Proficient in English Mandarin and Malay Willing to travel for work purpose 
female,Professional Experience Citco Fund Services Singapore Pte Ltd May  Present Fund Accountant Full Time Prepared  daily  weekly and  monthly Fund Level Net Asset Value computations and Financial Statements for over  Hedge Funds across  Databases using in house software to be disseminated to shareholders worldwide Completed  Trader Level Financial Statements and Net Asset Value calculations under  funds according to their individual Investment Advisory Agreements which accounted for  of the team s workload Liaised with over  Investment Managers and  Investor Relations Teams to bring about an increase in client s satisfaction by  Corresponded closely with  Pricing Corporate Actions Dividend and Reconciliations Teams respectively to improved delivery time of Financial Statements by  Cross trained  colleagues in a team of  to ensure that  funds in  databases were completed accurately based on individual clients request which developed bench strength by  Streamlined the process of migration of funds from other offices such as Toronto Dublin to Singapore which increased migration efficiency by  Written  Standard Operating Procedures for the generation of Financial Statements and reviewed  Financial Statement Completed  FIN  reports and assisted in answering more than  audit queries which reduced audit time taken by  Parsons Brinckerhoff Pte Ltd Aug  Feb  IT Assistant Full Time Provide Mentorship to  juniors thus increasing their technical abilities by  Leading a team of  to replaced  copiers over  levels of the company within a tight deadline of  days Working closely in a team of  with  senior colleagues in re vamping of network structure within the given time constraint of hr Planning and executing of Data Migration  different office ensuring over  TB of data are replicated at  Maintaining a IT Knowledge Base with over  created knowledge articles on SharePoint thus reducing troubleshooting time by  and decreased internal user downtime by  JK Technology Pte Ltd Outsource to AIA Singapore Oct  June  Desktop Technician Full Time Coordinating with over  departments secretaries in the relocation of over  workstations to increase work flow efficiency by  Providing excellent Customer service to over  users which increase Customer Satisfaction by  Devising a procedure in upgrading of Windows  over  computers which reduced down time by  Education Murdoch University May  Mar  Kaplan Singapore Bachelor of Commerce in Accounting and Finance Singapore Polytechnic Apr  Apr  Diploma in Information Technology Other Certificates and Courses Attended CFA Institute Oct  CFA Institute Investment Foundations INTELLISOFT SYSTEMS Mar  Advanced MS Excel  Others Languages Spoken English Mandarin Language Written English Computer Proficiency Microsoft Excel Word and Powerpoint Bloomberg Terminal Proficiency Beginner 
male,PROFESSIONAL EXPERIENCE Conifer Financial Services May  Present Team Lead Fund Accounting Perform and review daily monthly cash and position reconciliations and NAV Net asset valuation for Hedge Funds and Fund of funds Prepare and review monthly financial statements management and performance fee calculation and income and expense accrual Process capital calls distributions and capital statement for endowment pension clients limited partners investing in private equity Within first  months of joining Conifer was selected to lead a team for a pivotal hedge fund client of AUM US  bil Constantly communicated with clients brokers investor managers and custodians to resolve issues Involved in training of new employees and offshore team and developed current employees through daily interaction Review of daily price control checks profit and loss reasonableness and inter system reconciliations Verify the processing of corporate actions on portfolio securities and investigate as required Improved team efficiency by constructing ad hoc excel solutions to automate daily repetitive reporting related tasks as well as implementing control checks to benefit the team Assist on year end audit requests within the assigned portfolio of funds Prepared and submitted compliance reports on a monthly basis Citco Fund Services Oct  Apr  Supervisor Portfolio Accounting Managed a team of  people Prepared and supervised team in preparing daily trades position and cash reconciliations for hedge funds of AUM US  billion Possess strong communication skills by liaising daily with investment managers brokers and fund accountants and cultivating a good working relationship with them In Depth knowledge of Equities Fixed Income and Derivative products Options Forwards Futures and Swaps Cross trained team members to enhance their technical knowledge and improve efficiency Was the go to person within the team and assisted team members to solve their day to day issues Additionally would follow up until they are fully resolved Support the conversion of any new clients existing migrations from other citco offices or new clients and migration of manual reconciliation to automated reconciliation tools Preparation of management reports to monitor performance of the team and each individual Suggested improvements or provided training to team members if required Juggled own deliverables while supervising the team simultaneously Good at multi tasking in a deadline driven environment to ensure that all deliverables and month end packages are delivered on time to client Held the reviewer role for reconciliations as well as signed off on month end NAV packages Involved in improving processes in the team to increase efficiency and implemented various internal controls and to minimize the probability of errors EDUCATION Institution Year of Completion Qualification Attained University Of London Singapore Institute Of Management Temasek Polytechnic Singapore Aug  Sept  June  Mar  Bsc Accounting And Finance Diploma in Business Information Technology ADDITIONAL SKILLS Knowledge of Microsoft Office Excel Words Powerpoint Geneva Accounting Tool Bloomberg and IDC
male,QUALIFICATION SUMMARY Results driven achiever and highly motivated team player with good analytical and problem solving skills Proven ability to complete tasks within the stipulated time and to the best possible standards Eager to learn new things with a positive can do attitude EDUCATION Mar  Nov  Nanyang Polytechnic Singapore Specialist Diploma in Fund Management Part time July  June  University of Melbourne VIC Australia Bachelor of Commerce major in Accounting and Finance July  July  Trinity College VIC Australia Foundation Studies July  June  Wage Rudolf Supratman Medan Indonesia High School Studies AWARDS July  June  International Undergraduate Scholarship University of Melbourne Australia PROFESSIONAL WORKING EXPERIENCE September  June  Senior Fund Accountant Deputy Manager Citibank Singapore Duties Responsible for the daily operation and supervision of the team Review Net Asset Valuation NAV produced by the team Advise the team on fund accounting controls and procedures Liaise with fund managers clients brokers and internal counterparts to ensure service delivery Participate in the implementation and migration of new clients funds Responsible for staff mentoring and development Work with the manager to ensure efficient work allocation within the team Assist the team in work improvement process September  September  Fund Accountant Citibank Singapore Duties Prepare NAV on a daily basis Perform cash position and future reconciliations against broker custody records Ensure pricing accuracy and completeness of corporate actions Prepare financial statements of funds in accordance with accounting principles Coordinate audit related requests September  September  Audit Associate KPMG Singapore Duties Assist senior auditors to conduct compliance and financial statement audit on various publicly listed companies including financial institutions manufacturing and Real Estate Investment Trust REIT Assess the adequacy and effectiveness of internal controls system and provide recommendations for improvement in Management Letter Perform financial statement analysis and obtain explanations for significant fluctuations from expectations Perform various audit procedures and prepare documentation on all audit work done OTHER WORKING EXPERIENCE Feb  August  Assistant Career Employment Services University of Melbourne Part time Duties Assisted in marketing of upcoming career events Assisted in the running of various career events held at university Assisted in organising various career resources for easy reference by students Assisted the Career Employment Consultant with administrative duties SKILLS Computer Skills Systems Multifonds fund accounting system custody system Bloomberg Reuters Microsoft Office Word Excel PowerPoint Access Languages Visual Basic NET Python Languages Fluent in written and spoken English Chinese and Indonesian JOB REFERENCE Available upon request 
female, Citco Fund Services Singapore Pte Ltd Fund Accountant Feb  Current Performance of the administration and services pursuant to the administration agreement of hedge funds Preparation and review of daily weekly and monthly Net Asset Value calculations financial statements and associated reports in accordance to service level agreements Provision of cash portfolio and capital reconciliation Development and implementation of standard operating procedures Liaison with investment managers brokers and external auditors Proficient with various incentive fee management fee and administration fee computations Proficient with migrations liquidations and mergers of funds Mentoring of new hires in the team FTC Corporate Tax Advisory Pte Ltd Client Services Executive Internship Oct  Jan  Preparation of financial statements in accordance with Singapore Financial Reporting Standards Preparation and submission of XBRL and annual returns for ACRA filings Preparation and submission of corporate tax returns and provisional personal tax returns Payroll administration including CPF related matters Website development and maintenance LG Electronics Singapore Pte Ltd Accounts Associate Nov  Oct  Processing of timely payments of company s expenses Provision of variance analysis of monthly and quarterly expenses Management of company s cash accounts with commercial banks Reconciliation of bank accounts daily to monitor all bank transactions Reporting of daily and monthly cash flow forecasts Generation of general ledgers and other reports Preparation of quarterly GST returns EDUCATION ACCA   ACCA Qualification Level  CFA Institute   Investment Foundations Progam University of London   Bachelor in Accounting Finance Second Class Honours Upper Division Ngee Ann Polytechnic   Diploma in Business Studies ADDITIONAL INFORMATION Nationality Singaporean Language Proficiency English Mandarin Chinese Achievements Awards for Citco Excellence in Citco Fund Services Commanding Officer Choice and Best Commander for National Service Represented Ngee Ann Polytechnic in SGDF Dancesport Nationals and IVP Track and Field Meet Coordinated an outreach programme between Ngee Ann Polytechnic and Wildlife Reserves Singapore Management committee of Environmental Rangers Society and Kung Fu Club in Ngee Ann Polytechnic Organising committee and student coordinater in various events in Singapore Institute of Management and xNgee Ann Polytechnic 
female,Work Experience CITCO Fund Services  Feb  Current Account Manager AVP Manage a team of  including  supervisors and up to  fund accountants Ensure clients expectations and agreed SLAs are met Be the main point of contact for client escalation Developing and maintaining relationships with Investment Advisors Managers Escalating all material issues affecting the NAV process or client relationship to the Senior Account Manager Reviewing Net Asset Value calculations and associated reports Review Funds Private Placement Memorandum when necessary Reviewing and authorizing payments Funds expenses Assist in coordinating fund s annual audit and financial statements preparation Assist in Corporate Secretarial duties for accounts that subscribed to the service This includes co ordination and preparation of the board papers attending funds board meetings and reviewing minutes of the meetings Working closing with team s supervisor to identify and implement relevant training needs for the team Holding monthly informal  on  with team members to ensure concerns within the team are addressed Perform periodic performance review on team members Liaise with offshore team to ensure outsourced functions are performed in accordance to requirements Other duties BCP coordinator Represent department to co ordinate firm wide BCP exercise Help roll out new reporting system to department by liaising with development team and providing training Help roll out new finance related system including providing training and performing UAT StateStreet Bank and Trust  Jul   Sep  Fund Services Manager Oversee a team of  which  includes assistant managers and  fund accountants Duties includes Handling day to day custody related queries raised by clients including trade status trade instructions and asset transfers Handling day to day issues raised by the team Providing coaching to junior staff on various securities custody related processes and services Team is responsible for daily oversight of custody operations of  funds belonging to  clients and also the delivery of daily valuation reports in a timely and accurate manner risk management liaising with various outsourcing teams and centers of excellence to ensure various custodial and fund accounting related tasks are completed UBS AG  May   Jul  Global Keylink Services in Singapore Jan  Jul  Client Relationship Manager UBS Keylink Daily responsibilities includes setting up client on e banking tool UBS Keylink ensure clients queries are answered in a timely manner while maintaining clarity and accuracy Meeting clients to understand their processes better and if possible propose better ways of using existing UBS Keylink functionalities to help client increase efficiency Meeting clients to understand their new business requirements and if possible propose on how they can leverage on UBS Keylink capabilities to be part of their operating model Identify knowledge gaps among users through the daily queries received from users and propose training for users to help users to be more familiar with UBS Keylink Work closely with counterparts in other locations to provide seamless service to clients as team adopts follow the sun model Main modules supported are for Payment FXMM and for Securities Securities Operations Singapore May  to May  Sydney May  to Jan  International Settlements Daily responsibilities includes Clients Servicing Settlements for international trades Asset Transfers Corporate Actions Daily Cash and Stock Reconciliation MIS reporting Monthly reporting of department s trade volumes Risk Indicators and Service levels indicators Responsible for error financing cost of the department and regional reporting of department s errors and loss figures Power of Process Representative for department Assist in co coordinating department s efforts to streamline processes through simple changes that do not require system enhancements Client Services Investigating and responding to queries from Wealth Management Relationship Managers Assist in implementation of client query and investigation system OCBC Bank  Nov   Apr  Senior Officer Treasury Operations Projects Manage projects initiated by the department including system enhancements by liaising with various processing teams within the department Represent department in project committees for bank wide projects Deutsche Bank StateStreet Bank and Trust  May   Nov  Senior Fund Accountant Manage client s portfolios daily administration and provide monthly net asset valuation of the portfolios MIS reporting Report to Regional Offices on related Cost Revenue Risks and other Service Level Indicators Analyze and investigate on department s Cost Revenue Variances Business User Support Officer Prepare invoices for Custody Services rendered Performance Reporting and Monthly Reconciliation Maintain Information in core system used by the department Education National University of Singapore Jul  Dec  Bachelor in Business Administration Pass with Merit with distinctions in Accounting Managing Personal Assets Finance and Business Finance Jurong Junior College Singapore Mar  Dec  GCE A Levels With distinction in Mathematics Queenstown Secondary School Singapore Jan  Dec  GCE O Levels With distinctions in Mathematics Co Curricular Activities Head Prefect Councilor  in Secondary School Actively participated and represented Schools College and Varsity in Bowling Track Field and Volleyball Other abilities Proficient in Microsoft Office Excel One who thrives under stress Interests Sports Mainly Tennis Volleyball Running 
female,Career Objectives Have strong interest in financial market and want to further career growth within hedge fund industry only Education Qualifications Sep  to Aug  BSc Hons Banking and Finance Degree University of London International Programmes Second Class Honours Upper Division Mar  to Mar  Diploma in Banking and Financial Services Major in Financial Trading Singapore Polytechnic Certificate June  Certificate in Technical Analysis Finance awarded by Singapore Technical analysts Trader Society Taken due to self interest Dec  to Present Senior Fund Accountant at Citco Fund Services Singapore Shared Services Centre Role and responsibilities include Continue to perform fund services to European hedge funds but take on higher responsibility by handling funds with bigger AUM Preparation of financial statements and other required reports on a weekly monthly basis while ensuring tight deadlines are met Develop and maintain relationships with investment advisors managers banks brokers and investor relation group Working closely with account manager in the launch and set up of new funds Preparation of financial statements and other required reports on a weekly monthly basis while ensuring deadlines are met Coaching and training juniors in understanding calculation of NAV process for new funds assigned to them and reviewing of their work Manage juniors and assist them in work to ensure deliverable of funds are not delayed Troubleshooting with with technical support team to resolve financial reporting issues Assist account manager to prepare reports for auditors and respond to auditor queries Complying and onboard new internal controls policies and procedures Review and make suggestions for process improvement Assist account manager in any ad hoc projects when necessary Mar  to December  Fund Accountant at Citco Fund Services Singapore Shared Services Centre Role and responsibilities include Perform fund administration services to European hedge funds Clients include Goldman Sachs Winton Capital and current major client Marshall Wace Prepare financial reporting for hedge funds Calculation of Net Asset Value and preparation of Statement of Asset and Liabilities and Profit and Loss Statement on daily weekly monthly basis while ensuring tight deadlines are met Securities valuations include validation of market prices against vendors on the various listed securities and OTC products such as options variance swap and CDS Also include stale price report check flagging out of suspended halted securities performing P L market value checks Ensuring capital transactions are booked correctly and P L is allocated correctly at fund class and investor level Process payment of fund expense through in house system and booking of fund income fee accruals Calculation and validation of management fees highwatermark performances fees equalisation and forced redemption Generating associated daily reports for major hedge funds while meeting tight deadlines and fund s requirements Handled funds with master feeder fund structure with mutli line hedging share classes Perform daily and month end reconciliation of cash trade and positions using in house reconciler excel spread sheet supported by client s blotters and broker statements Reconcile dividends and equity swaps collateral and any interests related on monthly basis Resolve day to day trade and cash discrepancies with investment managers brokerages and headquarter in Dublin Coaching juniors in understanding calculation of NAV process and firm s operations 
female,Experience Apr  Present  year Fund Accountant Citco Fund Services Singapore Pte Ltd Position level Asc Degree Hedge fund related accounting Sep  Mar   year  months Financial Consultant AXA Life Insurance Singapore Pte Ltd Position level Asc Degree Assisted clients to plan ahead through various financial planning models Provided consistent support for their insurance coverage and investment portfolios Specialized in Life General Insurance product knowledge Focused on needs based selling Always going the extra mile to achieve high customer satisfaction level Jul  Sep   year  months Co Partner Finance Consultant E commerce Position level Higher Sec Maintained the company s bookkeeping Ensured adherence to Government CPF policies and IRAS guidelines Adapted to different business platforms with openness to innovative ideas Displayed excellent customer service that would lead to long term customer satisfaction and continuous support Prompt in replies and postage handling Conducted periodic market research to maintain competitiveness and improve product quality and its user friendliness Jul  Jul   year Credit Approval OCBC Bank Limited Position level Asc Degree Monthly Salary SGD   Enhanced several project databases with self taught Microsoft Access SQL VBA macros knowledge Performed Customer Due Diligence Know Your Customer and Anti Money Laundering checks within stipulated turnaround time  work day as part of Copyright   JobStreet com All rights reserved credit review process for several investment products Periodic portfolio reviews done to reduce Non Performing Loan cases Ensured data accuracy and adherence to policies and guidelines Supported the department s administrative needs such as high sensitivity document management and secure destruction Jul  Oct   months Data Entry Officer Part Time during School Holida Malayan Banking Berhad Position level Asc Degree Monthly Salary SGD   Keyed in crucial information of cheques into the system Ensured speed and absolute accuracy Spotted and sorted post dated cheques separately Ensured daily end of day balancing figures tallied May  Jun   year  month Credit Officer Malayan Banking Berhad Position level Bachelor s Monthly Salary SGD   Facilitated lending from bank to individuals namely in hire purchase credit card and overdraft applications Performed vigilant credit checks CDD KYC AML within stipulated turnaround time   work days in spite of high volume Periodic covenant checks and regular portfolio reviews done to reduce Non Performing Loan cases Ensured data accuracy and adherence to policies and guidelines Mar  Nov   months Account Assistant C S Management Services Position level Bachelor s Monthly Salary SGD   Tallied daily bank reconciliations Managed the restructuring of overdue and current payments with all the creditors of clients Issued repayment cheques on behalf on clients on a monthly basis Drafted Directors Reports financial statements such as Cash Flow Statement for clients Copyright   JobStreet com All rights reserved Education  University of London Bachelor s Major Banking Finance Grade Asc Degree Modules undertaken Principles of Banking and Finance Financial Intermediation Corporate Finance Investment Management Valuation and Securities Analysis Macroeconomics Microeconomics Management Science Methods  Temasek Polytechnic Asc Degree Major Accounting Finance Skill Advanced AS Excel Microsoft Office Outlook PowerPoint Intermediate Access ACCPAC Accounting Software UBS Accounting Software Languages Proficiency level  Poor  Excellent Language Spoken Written Relevant Certificates Secondary Sch   Other Language JobStreet English Language Assessment JELA Date Taken  Feb  Score   Additional Info Expected Salary SGD   Other Information Resourceful professional equipped with knowledge in accounting and finance Adaptable fast learner to even comprehend complex IT skills required on the job Solution focused perspective that remembers the importance of root cause analysis Detail oriented personality hence motivated to produce work of excellence and on a constant lookout for improvements Strong analytical skills with an aptitude for numbers On task nature induces persistence with determination and commitment till job completion Customer centric mindset always going the extra mile to ensure positive customer experience About Me Address Singapore 
female, Expected Salary SGD   Corporate Secretary at e Accounting Pte Ltd Experience  years Previous Account Executive JJ E Consulting Pte Ltd Education Kaplan Higher Education Institute Bachelor s  Nationality PR Mobile No Email tiaxiaolei yahoo com Age  years old Experience Jul  Present  years  months Corporate Secretary e Accounting Pte Ltd Position level Cerf Dip Monthly Salary SGD   o Preparing and drafting various meetings such as AGM EGM o Preparing and drafting Board resolutions and minutes of meetings o Managing applications renewals and cancellation of business registrations and updating of statutory duties o Maintenance of company records and statutory registers o Providing other corporate secretarial administrative duties o Attending to e filing of documents with ACRA o In advises incorporation of companies register of branch office representative office o Meeting and dealing with clients May  Jun   years  month Account Executive JJ E Consulting Pte Ltd Position level Cerf Dip Monthly Salary SGD   Preparing and drafting various meetings such as AGM EGM Preparing and drafting Board resolutions and minutes of meetings Managing applications renewals and cancellation of business registrations and updating of statutory duties Maintenance of company records and statutory registers Providing other corporate secretarial administrative duties Attending to e filing of documents with ACRA In charged Assist incorporation of companies Meeting and dealing with clients Jun  Apr   years  months account Assistant MediaCorp Pte Ltd Publishing Position level Asc Degree Monthly Salary SGD   Billing of all SAP and Sub sys Pivatol invoices Creation of material issue and material price Update prices changes and master data Prepare statement of account Publisher payment settlement Daily cash receipting Nov  Apr   months Account Assistant Yeh Brother Woods Works Pte Ltd Position level Bachelor s Monthly Salary MYR   a Issued cash disbursement journal cash receipt journal general journal by MYOB b Issued cheque TT and Handle bank reconcilation c Petty cash claim data entry and filling d Issued LC amendment of LC Education  Kaplan Higher Education Institute Bachelor s Grade Asc Degree  College Tunku Abdul Rahman Asc Degree Major Accounting Grade Asc Degree Skill Beginner Accounting Corporate secretarial Languages Proficiency level  Poor  Excellent Language Spoken Written Relevant Certificates Secondary Sch     Other Language Additional Info Expected Salary SGD   Preferred Work Location Other Information Career Objectives To be corporate secretary Summary Education SPM SMK Pasir Gudang  Diploma Business Studies in Accounting College Tunku Abdul Rahman Bachelor Degree in business accounting Courses Attended UBS in Accounting April  UBS in Payroll April  My Own Business MYOB May  SAP Jun  Additional Skill Proficient in Microsoft Word Microsoft Excel Microsoft Access and Power Point Fluentt in oral and written Mandarin Malay Can Speak and write in English 
